Protein1,Protein2,Score,Experimental System Type
ATP6V1D,ATP6V1A,999,physical
ATP6V1D,ATP6V1B2,999,physical
ATP6V1D,ATP6V1F,999,physical
PSMA3,PSMB4,999,physical
PSMA3,PSMB2,999,physical
PSMA3,PSMB1,999,physical
PSMA3,PSMB3,999,physical
PSMA3,PSMA6,999,physical
PSMA3,PSMA1,999,physical
PSMA3,PSMA4,999,physical
SPTLC2,SPTLC1,999,physical
NFKBIA,RELA,999,physical
NFKBIA,NFKB1,999,physical
PSME2,PSME1,999,physical
AURKA,TPX2,999,physical
MYBL2,LIN9,999,physical
CSTF1,CSTF3,999,physical
CSNK2A1,CSNK2B,999,physical
IDH3G,IDH3B,999,physical
IDH3G,IDH3A,999,physical
STAG2,SMC1A,999,physical
STAG2,SMC3,999,physical
STAG2,RAD21,999,physical
TIMP1,MMP9,999,physical
TIMP1,MMP14,999,physical
MMP2,TIMP2,999,physical
ORC6,ORC3,999,physical
POLR2C,POLR2F,999,physical
POLR2C,POLR2L,999,physical
POLR2C,POLR2D,999,physical
POLR2C,POLR2A,999,physical
POLR2C,POLR2K,999,physical
POLR2C,POLR2G,999,physical
POLR2C,POLR2B,999,physical
POLR2C,POLR2H,999,physical
POLR2C,POLR2E,999,physical
POLR2C,POLR2J,999,physical
PSMD7,PSMD12,999,physical
PSMD7,PSMD3,999,physical
PSMD7,PSMD8,999,physical
PSMD7,PSMD11,999,physical
PSMD7,PSMD14,999,physical
PSMD7,PSMD6,999,physical
PSMD7,PSMD13,999,physical
TSC2,TBC1D7,999,physical
TSC2,TSC1,999,physical
CSK,PAG1,999,physical
GABPB1,GABPA,999,physical
VPS18,VPS16,999,physical
VPS18,VPS11,999,physical
VPS18,VPS41,999,physical
VPS18,VPS33A,999,physical
VPS18,VPS39,999,physical
AGO2,AGO1,999,physical
AGO2,TNRC6A,999,physical
AGO2,TARBP2,999,physical
AGO2,DICER1,999,physical
PAG1,CSK,999,physical
PLAT,SERPINE1,999,physical
EIF3E,EIF3K,999,physical
EIF3E,EIF3M,999,physical
EIF3E,EIF3B,999,physical
EIF3E,EIF3L,999,physical
EIF3E,EIF3F,999,physical
EIF3E,EIF3C,999,physical
EIF3E,EIF3D,999,physical
EIF3E,EIF3H,999,physical
EMC2,EMC1,999,physical
EMC2,EMC6,999,physical
EMC2,EMC3,999,physical
EMC2,EMC4,999,physical
CHRAC1,POLE3,999,physical
DCTN6,DCTN4,999,physical
DCTN6,DCTN5,999,physical
DCTN6,ACTR10,999,physical
TNFRSF10A,TNFSF10,999,physical
PPP2CB,PPP2R1B,999,physical
PPP2CB,PPP2R1A,999,physical
EXOSC5,EXOSC1,999,physical
EXOSC5,EXOSC6,999,physical
EXOSC5,EXOSC7,999,physical
EXOSC5,EXOSC8,999,physical
EXOSC5,EXOSC3,999,physical
EXOSC5,EXOSC9,999,physical
EXOSC5,EXOSC2,999,physical
EXOSC5,EXOSC10,999,physical
EXOSC5,EXOSC4,999,physical
PAF1,CDC73,999,physical
PAF1,CTR9,999,physical
PAF1,LEO1,999,physical
RELB,RELA,999,physical
RELB,NFKB2,999,physical
RNASEH2A,RNASEH2B,999,physical
RNASEH2A,RNASEH2C,999,physical
SF3A2,SF3B2,999,physical
SF3A2,SF3A3,999,physical
SF3A2,SF3A1,999,physical
AMH,AMHR2,999,physical
FBL,SNU13,999,physical
FBL,NOP56,999,physical
FBL,NOP58,999,physical
EBI3,IL27,999,physical
POLR2I,POLR2E,999,physical
POLR2I,POLR2B,999,physical
TGFB1,TGFBR1,999,physical
TGFB1,TGFBR2,999,physical
CD79A,CD79B,999,physical
CDC37,HSP90AA1,999,physical
CDC37,CDK4,999,physical
CDC37,HSP90AB1,999,physical
EPOR,EPO,999,physical
EPOR,JAK2,999,physical
PIK3R2,PIK3CA,999,physical
PIK3R2,PIK3CB,999,physical
PIK3R2,PIK3CD,999,physical
GSK3A,AXIN1,999,physical
HGF,MET,999,physical
LAMB1,LAMC1,999,physical
BET1,STX5,999,physical
STX1A,SNAP25,999,physical
STX1A,STXBP1,999,physical
STX1A,VAMP2,999,physical
WASL,CDC42,999,physical
AIMP2,EEF1E1,999,physical
SERPINE1,PLAT,999,physical
SERPINE1,VTN,999,physical
SERPINE1,PLAU,999,physical
RPA3,RPA1,999,physical
RPA3,RPA2,999,physical
PSMA2,PSMA7,999,physical
PSMA2,PSMA4,999,physical
PSMA2,PSMA5,999,physical
PSMA2,PSMA6,999,physical
PSMA2,PSMB3,999,physical
CHMP5,VTA1,999,physical
SEC61B,SEC61G,999,physical
TNFSF8,TNFRSF8,999,physical
BLNK,BTK,999,physical
CDH23,PCDH15,999,physical
STN1,CTC1,999,physical
UTP18,WDR36,999,physical
UTP18,TBL3,999,physical
CSF3,CSF3R,999,physical
SUPT4H1,SUPT5H,999,physical
PFN1,ACTB,999,physical
PFN1,VASP,999,physical
MED31,MED7,999,physical
MED31,MED10,999,physical
CCL2,CCR2,999,physical
CCL1,CCR8,999,physical
KAT2A,SGF29,999,physical
KAT2A,TRRAP,999,physical
KAT2A,TADA3,999,physical
EFNB3,EPHA4,999,physical
VTN,SERPINE1,999,physical
VTN,PLAUR,999,physical
NFKB1,NFKB2,999,physical
NFKB1,REL,999,physical
NFKB1,NFKBIA,999,physical
NFKB1,RELA,999,physical
IL2,IL2RG,999,physical
IL2,IL2RB,999,physical
IL2,IL2RA,999,physical
GAR1,NOP10,999,physical
GAR1,DKC1,999,physical
CCND1,CDK6,999,physical
CCND1,CDK4,999,physical
CCND1,CDKN1B,999,physical
CCND1,CDKN1A,999,physical
PRPF19,PLRG1,999,physical
PRPF19,CDC5L,999,physical
PRPF19,BCAS2,999,physical
PRPF19,AQR,999,physical
IL10RA,IL10RB,999,physical
IL10RA,IL10,999,physical
IL10RA,JAK1,999,physical
PDHX,DLD,999,physical
PDHX,PDHB,999,physical
POLR3B,POLR3A,999,physical
POLR3B,POLR1C,999,physical
POLR3B,POLR3H,999,physical
POLR3B,POLR3D,999,physical
POLR3B,POLR3K,999,physical
POLR3B,POLR3E,999,physical
SELPLG,SELP,999,physical
GLI1,SUFU,999,physical
ITFG2,KPTN,999,physical
ITFG2,C12orf66,999,physical
ITFG2,SZT2,999,physical
