Protein1,Protein2,Score,Experimental System Type
RPS15,RPS13,996,physical
RPS15,RPS8,996,physical
RPS15,RPS11,996,physical
STX10,STX16,996,physical
COX6B1,COX4I1,996,physical
COX6B1,NDUFA4,996,physical
UQCR11,UQCRH,996,physical
UQCR11,UQCRFS1,996,physical
SEC11C,SPCS2,996,physical
SEC11C,SPCS3,996,physical
MICOS13,APOOL,996,physical
CHMP2A,CHMP4A,996,physical
TRAPPC5,TRAPPC9,996,physical
IL12RB1,JAK2,996,physical
RPS19,RPS10,996,physical
RPS19,RPS17,996,physical
RPS19,RPS21,996,physical
RPS19,RPS7,996,physical
RPS19,RPS15,996,physical
RPS19,RPS24,996,physical
RPS19,RPS27A,996,physical
NUP62,NUP214,996,physical
IRF3,JUN,996,physical
RPS28,RPL11,996,physical
RPS28,RPS21,996,physical
RPS28,RPS6,996,physical
RPS28,RPS3,996,physical
RPS28,RPSA,996,physical
RPS28,RPS2,996,physical
RPS28,RPL19,996,physical
RPS28,RPS12,996,physical
RPS28,RPS13,996,physical
RPS28,RPS8,996,physical
RPS28,RPS23,996,physical
RPS28,RPL18A,996,physical
RPS28,RPS9,996,physical
RPS28,RPS25,996,physical
RPS28,RPS11,996,physical
KXD1,SNAPIN,996,physical
KXD1,BORCS7,996,physical
VAV1,NCK1,996,physical
RPS5,RPS20,996,physical
RPS5,RPS8,996,physical
RPS5,RPS23,996,physical
RPS5,RPS11,996,physical
RPS5,RPS21,996,physical
RPS5,RPS18,996,physical
RPS5,RPS26,996,physical
RPS5,RPS7,996,physical
RPS5,RPS27A,996,physical
RPS5,RPS24,996,physical
RUVBL2,INO80,996,physical
CCL5,PF4,996,physical
CHMP4A,CHMP2A,996,physical
BIRC2,BIRC3,996,physical
BIRC2,DIABLO,996,physical
NR1H3,RXRB,996,physical
ANAPC16,ANAPC15,996,physical
ANAPC16,ANAPC5,996,physical
CCL3,CCR5,996,physical
STAG3,RAD21L1,996,physical
ELOC,HIF1A,996,physical
CRY2,PER2,996,physical
POLR2E,POLR1B,996,physical
ANAPC10,ANAPC15,996,physical
RYK,WNT5A,996,physical
DDX6,EIF4ENIF1,996,physical
DDX6,AGO1,996,physical
SIRPA,PTPN11,996,physical
DPF3,ACTL6B,996,physical
FGF1,FGFR3,996,physical
PSMC3,PSMD6,996,physical
PSMC3,PSMD12,996,physical
TADA2A,SGF29,996,physical
RPS10,RPS29,996,physical
RPS10,RPS16,996,physical
RPS10,RPS19,996,physical
MED29,MED28,996,physical
MED29,MED17,996,physical
MED29,MED30,996,physical
MED29,MED11,996,physical
AP5S1,AP5M1,996,physical
SAP18,RBBP4,996,physical
SAP18,RBBP7,996,physical
CNOT6,CNOT2,996,physical
MED6,MED30,996,physical
PTGES3,HSP90AB1,996,physical
CGA,CGB8,996,physical
TTC8,BBS5,996,physical
MED22,MED16,996,physical
MED22,MED26,996,physical
GHR,JAK2,996,physical
BTK,LCP2,996,physical
PSMB3,PSMB10,996,physical
NDUFB1,NDUFC2,996,physical
WASHC4,WASHC2C,996,physical
PSMC6,PSMD13,996,physical
PSMC6,PSMC4,996,physical
PSMC6,PSMD14,996,physical
PSMC6,PSMC5,996,physical
DOCK1,ELMO2,996,physical
WASHC2C,WASHC4,996,physical
WASHC2C,WASHC5,996,physical
PTPN11,PDCD1,996,physical
PTPN11,SRC,996,physical
PTPN11,SIRPA,996,physical
ATP6AP2,ATP6V0D1,996,physical
MIA2,MIA3,996,physical
MIA2,PREB,996,physical
HNRNPU,DHX9,996,physical
EFNB2,EPHB2,996,physical
RPGRIP1L,NPHP4,996,physical
PATJ,CRB3,996,physical
ABCC8,KCNJ8,996,physical
SPTA1,SPTB,996,physical
RPS7,RPS26,996,physical
RPS7,RPS2,996,physical
RPS7,RPS15,996,physical
RPS7,RPS12,996,physical
RPS7,RPS20,996,physical
RPS7,RPS15A,996,physical
RPS7,RPS6,996,physical
RPS7,RPS5,996,physical
RPS7,RPS18,996,physical
RPS7,RPS11,996,physical
RPS7,RPS25,996,physical
RPS7,RPS27,996,physical
RPS7,RPS16,996,physical
RPS7,RPS24,996,physical
RPS7,RPS3A,996,physical
RPS7,RPS8,996,physical
RPS7,RPS19,996,physical
CTNNB1,POU5F1,996,physical
CTNNB1,RUVBL1,996,physical
CTNNB1,CSNK1A1,996,physical
TBL1X,NCOR1,996,physical
SPTB,SPTA1,996,physical
POLR1C,CD3EAP,996,physical
RPL11,RPL18,996,physical
RPL11,RPL36,996,physical
RPL11,RPS21,996,physical
RPL11,RPL24,996,physical
RPL11,RPL19,996,physical
RPL11,RPS26,996,physical
RPL11,RPS28,996,physical
DYNC2H1,WDR60,996,physical
DYNC2H1,WDR34,996,physical
CDH5,PECAM1,996,physical
NDUFV1,NDUFA3,996,physical
NDUFV1,NDUFS5,996,physical
NDUFV1,NDUFA10,996,physical
NDUFV1,NDUFAB1,996,physical
INO80,RUVBL2,996,physical
INO80,INO80B,996,physical
INO80,RUVBL1,996,physical
COG8,COG1,996,physical
CDC42,ARHGDIA,996,physical
CDC42,PARD3,996,physical
CDC42,TNK2,996,physical
CDC42,BAIAP2,996,physical
CDC42,PAK6,996,physical
DLG4,NLGN1,996,physical
B2M,TFRC,996,physical
RPS17,RPS6,996,physical
RPS17,RPS15,996,physical
RPS17,RACK1,996,physical
RPS17,RPS21,996,physical
RPS17,RPS25,996,physical
RPS17,RPS19,996,physical
RPS17,RPS8,996,physical
RPS17,RPS29,996,physical
POLR3G,POLR3E,996,physical
NOTCH1,MAML3,996,physical
IL31RA,OSMR,996,physical
CCNH,GTF2H3,996,physical
MED19,MED7,996,physical
RPS27,RPS13,996,physical
RPS27,RPS7,996,physical
RPS27,RPSA,996,physical
EIF3L,EIF3A,996,physical
EIF3L,EIF3M,996,physical
EIF3L,EIF3G,996,physical
KCNJ8,ABCC8,996,physical
H3-2,CBX3,996,physical
TNNT2,TPM1,996,physical
JAK1,IL10RB,996,physical
PIK3CB,PIK3CG,996,physical
FKBP4,HSP90AB1,995,physical
FKBP4,HSP90AA1,995,physical
RB1CC1,CALCOCO2,995,physical
PIGQ,PIGA,995,physical
GABARAPL2,OPTN,995,physical
GABARAPL2,ATG7,995,physical
GABARAPL2,ATG3,995,physical
RFC2,PCNA,995,physical
MRPS35,MRPS31,995,physical
MRPS35,MRPS11,995,physical
AQR,CWC15,995,physical
AQR,SNRPD3,995,physical
AQR,SNRPG,995,physical
AQR,PPIL1,995,physical
AQR,SNRPF,995,physical
AQR,CDC5L,995,physical
AQR,SNRPD1,995,physical
AQR,SNRNP40,995,physical
AQR,SNRPE,995,physical
AQR,PLRG1,995,physical
AQR,SNRPD2,995,physical
AQR,SNW1,995,physical
PSMC4,PSMD10,995,physical
PSMC4,PSMD14,995,physical
TNFRSF1A,BIRC2,995,physical
FGF4,FGFR1,995,physical
NDUFB4,NDUFA3,995,physical
NDUFB4,NDUFS2,995,physical
NDUFB4,NDUFA5,995,physical
NDUFB4,MT-ND3,995,physical
NDUFB4,NDUFS1,995,physical
NDUFB4,NDUFS5,995,physical
NDUFB4,MT-ND2,995,physical
NDUFB4,NDUFA10,995,physical
NDUFB4,NDUFS7,995,physical
NDUFB4,NDUFB7,995,physical
NDUFB4,NDUFS8,995,physical
HSPB11,IFT74,995,physical
RRN3,POLR1B,995,physical
RBM22,SNRNP40,995,physical
RBM22,SNRPA1,995,physical
RBM22,PPIL1,995,physical
DLD,DBT,995,physical
DLD,OGDHL,995,physical
CDC6,MCM7,995,physical
VCL,SORBS3,995,physical
SIRT1,RRP8,995,physical
PSMD8,PSMC2,995,physical
NDUFB7,NDUFA3,995,physical
NDUFB7,NDUFB4,995,physical
NDUFB7,NDUFC2,995,physical
SF3A1,SART1,995,physical
SF3A1,SF3B4,995,physical
SF3A1,PHF5A,995,physical
SF3A1,SF3B5,995,physical
SNRPD3,SF3A2,995,physical
SNRPD3,LSM3,995,physical
SNRPD3,SNRNP200,995,physical
SNRPD3,CDC40,995,physical
SNRPD3,AQR,995,physical
SNRPD3,PRPF6,995,physical
EIF3D,EIF3L,995,physical
EIF3D,EIF3I,995,physical
PHF5A,PRPF31,995,physical
PHF5A,SF3A3,995,physical
PHF5A,SF3A1,995,physical
PHF5A,SNRPB2,995,physical
RIPK3,FADD,995,physical
AP4S1,AP4M1,995,physical
POLE2,POLE4,995,physical
SOS2,SHC1,995,physical
ATP6V1D,ATP6V1G1,995,physical
ATP6V1D,ATP6V0C,995,physical
ATP6V1D,ATP6V0B,995,physical
PSMD10,PSMC4,995,physical
PSMD7,PSMC3,995,physical
PSMD7,PSMC6,995,physical
PSMD7,PSMC5,995,physical
CSK,SRC,995,physical
AGO2,FMR1,995,physical
AGO2,DHX9,995,physical
EIF3E,EIF3I,995,physical
MTMR9,MTMR6,995,physical
SF3A2,SNRPD1,995,physical
SF3A2,PRPF6,995,physical
SF3A2,SNRPF,995,physical
SF3A2,SNRPD3,995,physical
SF3A2,SNRPB2,995,physical
SF3A2,SRRM2,995,physical
SF3A2,SNRPB,995,physical
SF3A2,SNRPD2,995,physical
SF3A2,SNRPE,995,physical
SGTA,UBL4A,995,physical
POLR2I,POLR2J,995,physical
ICAM5,ITGAL,995,physical
RPL18A,RPS21,995,physical
GSK3A,APC,995,physical
WASL,GRB2,995,physical
WASL,NCK1,995,physical
RPL19,RPS29,995,physical
C1QBP,KNG1,995,physical
MED31,MED22,995,physical
MED31,MED26,995,physical
MED31,MED6,995,physical
CCL2,CCR1,995,physical
CCL13,CCR2,995,physical
KAT2A,TADA2A,995,physical
VTN,PLAU,995,physical
PRPF19,SNRPF,995,physical
APOC3,APOE,995,physical
POLR3B,POLR2E,995,physical
MYL2,MYL3,995,physical
CNOT2,CNOT8,995,physical
KRR1,NOC4L,995,physical
ULBP1,KLRK1,995,physical
RPS12,RPS29,995,physical
TBP,GTF2F2,995,physical
TBP,TAF8,995,physical
MTREX,ZCCHC7,995,physical
SKP1,CDK2,995,physical
SKP1,PCGF1,995,physical
SKP1,CTNNB1,995,physical
MLH1,EXO1,995,physical
RRP9,MPHOSPH10,995,physical
NDUFS7,NDUFB4,995,physical
PCGF1,BCOR,995,physical
PCGF1,SKP1,995,physical
IGFBP2,IGF2,995,physical
IGFBP2,IGF1,995,physical
IL1RL1,IL1RAP,995,physical
GRIN3B,GRIN3A,995,physical
GRIN3B,GRIN2B,995,physical
ATP6V1B1,ATP6V1A,995,physical
ATP6V1B1,ATP6V1F,995,physical
MSH6,ATM,995,physical
BCL9,PYGO1,995,physical
MAD2L2,POLD3,995,physical
VAMP4,STX16,995,physical
SYF2,CDC40,995,physical
APOA1,SCARB1,995,physical
MED28,MED17,995,physical
MED28,MED11,995,physical
MED28,MED22,995,physical
WASHC3,WASHC2C,995,physical
SORBS3,VCL,995,physical
KLRK1,RAET1L,995,physical
KLRK1,ULBP1,995,physical
ACVR2A,ACVR1B,995,physical
INHBA,ACVR2B,995,physical
ACVR1C,ACVR2B,995,physical
ATP5F1E,ATP5F1C,995,physical
PLCG1,FGFR1,995,physical
MPHOSPH10,RRP9,995,physical
SNRPC,SNRPF,995,physical
H4C9,H2AC8,995,physical
BMP4,BMPR1A,995,physical
MRPS7,MRPS12,995,physical
C3,CFD,995,physical
VASP,ACTA1,995,physical
SYMPK,SSU72,995,physical
SNRPB2,SF3A2,995,physical
SNRPB2,SNRPB,995,physical
SNRPB2,PHF5A,995,physical
SNRPB2,SF3B3,995,physical
SNRPB2,SNRPD1,995,physical
CCR7,CCL19,995,physical
EIF3K,EIF3G,995,physical
EIF3K,EIF3B,995,physical
LSM8,EFTUD2,995,physical
LSM8,PRPF3,995,physical
NEDD8,ELOC,995,physical
NEDD8,CUL5,995,physical
TDRD1,PIWIL2,995,physical
MED17,MED28,995,physical
DPF2,SMARCB1,995,physical
APOE,APOC3,995,physical
APOE,APP,995,physical
LSM7,SNRPE,995,physical
MLLT1,CDK9,995,physical
NDUFA10,MT-ND5,995,physical
NDUFA10,NDUFS4,995,physical
NDUFA10,NDUFB4,995,physical
NDUFA10,NDUFS8,995,physical
NDUFA10,NDUFA13,995,physical
TAF4,CREB1,995,physical
EIF2S3,EIF2B5,995,physical
EIF3G,EIF3K,995,physical
ATP6V1E1,ATP6V1C1,995,physical
GINS2,CDC45,995,physical
HAUS8,HAUS5,995,physical
HAUS8,HAUS1,995,physical
HAUS8,HAUS7,995,physical
MRPS25,MRPS22,995,physical
SNRPA1,PLRG1,995,physical
SNRPA1,EFTUD2,995,physical
SNRPA1,SART1,995,physical
SNRPA1,RBM22,995,physical
SNRPA1,PRPF31,995,physical
SNRPA1,CWC15,995,physical
SMARCC1,ARID1B,995,physical
RRP8,SIRT1,995,physical
PTCD3,MRPS31,995,physical
H3-3B,HIST1H4G,995,physical
BRD8,DMAP1,995,physical
JAG1,NOTCH4,995,physical
MED10,MED15,995,physical
EIF2S1,EIF3B,995,physical
MBD2,GATAD2A,995,physical
FST,MSTN,995,physical
SEMA6A,PLXNA4,995,physical
APC,GSK3A,995,physical
MPHOSPH6,EXOSC10,995,physical
TAF5L,SUPT7L,995,physical
COX5B,COX6A2,995,physical
MED4,MED6,995,physical
COG3,COG2,995,physical
KAT7,ING5,995,physical
NDUFB5,MT-ND1,995,physical
NDUFB5,MT-ND3,995,physical
NDUFB5,NDUFV1,995,physical
MRPS18B,MRPS16,995,physical
MRPS18B,MRPS5,995,physical
MRPS18B,MRPS2,995,physical
GTF2H4,GTF2B,995,physical
NDUFAF1,TMEM126B,995,physical
NDUFAF1,NDUFA13,995,physical
TUBGCP4,MZT1,995,physical
TOPBP1,ATRIP,995,physical
MSTN,FST,995,physical
SLC40A1,HAMP,995,physical
PSMC1,PSMC5,995,physical
LRP6,AXIN1,995,physical
LRP6,DKK2,995,physical
PSMA6,PSMB9,995,physical
B9D1,TCTN1,995,physical
POMT2,POMT1,995,physical
THOC1,ALYREF,995,physical
SCARB1,APOA1,995,physical
PSMD11,PSMC3,995,physical
ANAPC5,CDC20,995,physical
GNB5,RGS9BP,995,physical
ATP5F1B,ATP5ME,995,physical
ATP5F1B,ATP5PO,995,physical
SMAD7,YAP1,995,physical
SMARCD3,SMARCB1,995,physical
TMED2,TMED10,995,physical
YY1,HDAC2,995,physical
YY1,EZH2,995,physical
ELOB,HIF1A,995,physical
AXIN1,LRP6,995,physical
UBN1,HIRA,995,physical
SLC4A1,ANK1,995,physical
COQ9,COQ7,995,physical
SPTLC1,SPTLC3,995,physical
RPL8,RPL10A,995,physical
RPL8,RPS29,995,physical
TYROBP,SIGLEC14,995,physical
TYROBP,KLRD1,995,physical
PIK3R3,PIK3R1,995,physical
RRAGB,RPTOR,995,physical
YJU2,PRPF8,995,physical
MED15,MED10,995,physical
HIRA,UBN1,995,physical
EP300,NCOA1,995,physical
LIG1,PCNA,995,physical
IL37,IL18R1,995,physical
MED26,MED31,995,physical
BIRC3,UBE2D2,995,physical
POLD3,MAD2L2,995,physical
SNRNP40,CDC5L,995,physical
SNRNP40,AQR,995,physical
SNRNP40,RBM22,995,physical
KAT2B,TADA2A,995,physical
KDR,VEGFD,995,physical
TAF12,ATXN7,995,physical
TAF12,TAF2,995,physical
IFT46,IFT57,995,physical
IFT46,TRAF3IP1,995,physical
CCNT2,AFF4,995,physical
CUL3,LZTR1,995,physical
FNIP2,FNIP1,995,physical
IFT57,IFT46,995,physical
IFT57,IFT27,995,physical
HDAC4,NCOR1,995,physical
WNT5A,ROR2,995,physical
PSMD3,PSMC3,995,physical
ERCC8,CUL4A,995,physical
MCM2,CDC45,995,physical
FBXW11,CUL1,995,physical
AFF4,CCNT2,995,physical
MED20,MED30,995,physical
SRF,MRTFA,995,physical
SRF,ELK4,995,physical
SEMA3A,PLXNA4,995,physical
ANK1,SLC4A1,995,physical
KAT6A,ING5,995,physical
HPS5,HPS3,995,physical
DAXX,SUMO1,995,physical
PRPF6,SF3A2,995,physical
PRPF6,SNRPB,995,physical
PRPF6,SNRPD2,995,physical
PRPF6,SNRPD3,995,physical
NDUFA9,NDUFA1,995,physical
SNRPF,PLRG1,995,physical
SNRPF,LSM6,995,physical
SNRPF,SNRNP200,995,physical
SNRPF,SNRPC,995,physical
SNRPF,SF3A2,995,physical
SNRPF,SF3B1,995,physical
SNRPF,LSM5,995,physical
SNRPF,PRPF19,995,physical
SNRPF,PRPF4,995,physical
SNRPF,CDC5L,995,physical
SNRPF,AQR,995,physical
CDK2,SKP1,995,physical
PXN,CRK,995,physical
MFAP1,ZMAT2,995,physical
MFAP1,SART1,995,physical
FGF7,FGFR2,995,physical
NDUFB10,NDUFS5,995,physical
NDUFB10,NDUFA3,995,physical
MED9,MED21,995,physical
NCOR1,HDAC4,995,physical
TP53,PPP1R13L,995,physical
CBX4,CBX2,995,physical
TXNL4A,SNRNP200,995,physical
SOD1,CCS,995,physical
DNMT3L,H3F3C,995,physical
DNMT3L,H3-2,995,physical
DNMT3L,HIST3H3,995,physical
RPS11,FAU,995,physical
PLK4,CEP192,995,physical
SF3B4,SF3A1,995,physical
SF3B4,EFTUD2,995,physical
RPS27A,RPS23,995,physical
RPS27A,RPS3A,995,physical
RPS27A,RPS13,995,physical
RPS27A,RPS8,995,physical
RPS27A,RPS25,995,physical
RPS27A,RPS24,995,physical
RPS27A,UBC,995,physical
RPS27A,RPS18,995,physical
RPS27A,RPS6,995,physical
RPS27A,RPS26,995,physical
MEIS1,PBX1,995,physical
MRPS5,DAP3,995,physical
MRPS5,MRPS16,995,physical
MRPS5,MRPS18C,995,physical
MRPS5,MRPS18B,995,physical
POLR2D,POLR2J,995,physical
ATP6V1A,ATP6V1B1,995,physical
ATP6V1A,ATP6V1C1,995,physical
ISY1,XAB2,995,physical
PELO,HBS1L,995,physical
ZMAT2,MFAP1,995,physical
NDUFB11,MT-ND3,995,physical
NDUFB11,NDUFA8,995,physical
UPF3B,UPF1,995,physical
ATP6V1B2,ATP6V1H,995,physical
MRPS28,MRPS2,995,physical
NDUFB9,NDUFC2,995,physical
NDUFB9,NDUFA3,995,physical
ATM,MSH6,995,physical
MTA2,CHD3,995,physical
ANK3,SPTBN4,995,physical
NDUFC2,NDUFB9,995,physical
NDUFC2,NDUFB7,995,physical
NDUFC2,NDUFV3,995,physical
NDUFC2,NDUFA7,995,physical
NDUFC2,NDUFA12,995,physical
NDUFC2,NDUFS5,995,physical
NDUFC2,NDUFV2,995,physical
NDUFC2,NDUFS4,995,physical
EPHA4,EFNA1,995,physical
HAUS1,HAUS8,995,physical
ATG10,ATG7,995,physical
GJA1,SRC,995,physical
GJA1,GJA5,995,physical
MED21,MED9,995,physical
MED21,MED16,995,physical
CENPH,CENPN,995,physical
RANBP2,SUMO2,995,physical
ATG3,GABARAPL2,995,physical
WNT3A,LRP5,995,physical
APP,APOE,995,physical
MRPS17,MRPS15,995,physical
DKK2,LRP6,995,physical
ERCC3,XPA,995,physical
ERCC3,GTF2E2,995,physical
GNAQ,GRK2,995,physical
GNAQ,HRH1,995,physical
COX6A2,COX5B,995,physical
FANCD2,BRCA2,995,physical
KPNB1,KPNA1,995,physical
ATP5PO,ATP5F1B,995,physical
ATP5PO,ATP5PB,995,physical
ACTC1,TPM1,995,physical
PSMB4,PSMB9,995,physical
PSMB4,PSMB8,995,physical
MED8,MED14,995,physical
MED8,MED1,995,physical
CHCHD6,APOO,995,physical
ATP6V0D1,ATP6V0B,995,physical
ATP6V0D1,ATP6AP1,995,physical
CALM1,TRPV1,995,physical
SSU72,SYMPK,995,physical
MED27,MED22,995,physical
CCR2,CCL13,995,physical
CCR2,CCL8,995,physical
CCR2,CCL4,995,physical
CCR2,CCL5,995,physical
CCR2,CCL7,995,physical
CCR5,CCL11,995,physical
CCR5,CXCL10,995,physical
CCR5,CCL8,995,physical
POLR2J,POLR2F,995,physical
POLR2J,POLR2I,995,physical
POLR2J,POLR2D,995,physical
MED11,MED28,995,physical
EIF4A1,PABPC1,995,physical
TAF6L,SUPT20H,995,physical
LRP5,WNT3A,995,physical
TAL1,GATA1,995,physical
MERTK,GAS6,995,physical
MRPS18C,MRPS5,995,physical
MRPS18C,MRPS21,995,physical
CLDN1,TJP1,995,physical
CXCR1,CXCL1,995,physical
ATXN7,TADA1,995,physical
ATXN7,SUPT20H,995,physical
ATXN7,TAF12,995,physical
CXCL3,CXCR2,995,physical
CXCL5,CXCR2,995,physical
PPBP,CXCR2,995,physical
PF4,CXCR3,995,physical
HPS3,HPS5,995,physical
HPS3,HPS6,995,physical
CCR1,CCL8,995,physical
CCR1,CCL2,995,physical
CCR1,CCL3,995,physical
CCR1,CCL4,995,physical
HHIP,DHH,995,physical
LSM6,SNRPF,995,physical
LSM6,SNRPD2,995,physical
LSM6,PRPF31,995,physical
RPS23,RPS21,995,physical
RPS23,RPL32,995,physical
RPS23,RPS27A,995,physical
RPS23,RPL10A,995,physical
NDUFS4,NDUFA10,995,physical
NDUFS4,NDUFB6,995,physical
NDUFS4,NDUFC2,995,physical
NDUFS4,NDUFA3,995,physical
IL22RA2,IL22,995,physical
COG5,COG2,995,physical
CAMLG,ASNA1,995,physical
MED30,MED20,995,physical
VEGFD,KDR,995,physical
SPTSSA,ORMDL3,995,physical
CPSF2,CSTF2,995,physical
JAM3,ITGB2,995,physical
VPS35,SNX5,995,physical
NDUFB8,NDUFA3,995,physical
HPS6,HPS3,995,physical
TAF10,TAF2,995,physical
MC4R,POMC,995,physical
PPIB,CRTAP,995,physical
CIAO2A,CIAO1,995,physical
CACNG2,DLG4,995,physical
PATL1,LSM1,995,physical
SNRPD1,AQR,995,physical
SNRPD1,PRPF3,995,physical
SNRPD1,SNRPB2,995,physical
SNRPD1,SF3A2,995,physical
CRK,FRS2,995,physical
CRK,PXN,995,physical
MED1,MED8,995,physical
NDUFA7,NDUFC2,995,physical
SRRM2,CDC5L,995,physical
SRRM2,SF3A2,995,physical
DDB1,DCAF6,995,physical
DDB1,DCAF12,995,physical
POLR2G,POLR2H,995,physical
FADD,RIPK3,995,physical
LSM3,SNRPD3,995,physical
CCL11,CCR5,995,physical
PYGO1,BCL9,995,physical
POLR1D,POLR2K,995,physical
POLR1D,CD3EAP,995,physical
MAP2K1,LAMTOR3,995,physical
TMED10,TMED2,995,physical
PCSK9,LDLR,995,physical
H2AC8,H4C9,995,physical
PPID,HSP90AA1,995,physical
PPID,HSP90AB1,995,physical
POP7,POP5,995,physical
TCTN2,TCTN1,995,physical
NLGN2,NRXN1,995,physical
CEBPB,ATF4,995,physical
CNNM3,PTP4A2,995,physical
PCBP1,PCBP2,995,physical
CXCL10,CCR5,995,physical
SF3B3,SNRPB2,995,physical
ATP5ME,ATP5F1B,995,physical
GON7,TPRKB,995,physical
SEC23A,SEC31A,995,physical
RPTOR,RRAGB,995,physical
MCM7,CDC6,995,physical
GEMIN2,SNRPG,995,physical
CENPS,CENPQ,995,physical
CBX2,CBX4,995,physical
CCL19,CCR7,995,physical
CCL19,CCRL2,995,physical
CLCF1,CRLF1,995,physical
CLTB,CLTC,995,physical
PSMD1,PSMD12,995,physical
PRKACA,AKAP1,995,physical
RPL38,RPS28,995,physical
PSMD2,PSMD14,995,physical
PSMD2,PSMD13,995,physical
INTS6,INTS2,995,physical
SART1,SNRPA1,995,physical
SART1,PRPF4,995,physical
SART1,SF3A1,995,physical
SART1,EFTUD2,995,physical
SART1,MFAP1,995,physical
PSMC5,PSMD7,995,physical
PSMC5,PSMD12,995,physical
PSMC5,PSMC1,995,physical
LSM1,PATL1,995,physical
POLD4,POLD1,995,physical
VPS26C,VPS29,995,physical
MSL2,MSL1,995,physical
GRK2,GNAQ,995,physical
LEP,LEPR,995,physical
TAF7,TAF13,995,physical
IFT80,IFT88,995,physical
NFKBIB,RELA,995,physical
PABPC1,EIF4A1,995,physical
ANAPC2,UBE2C,995,physical
IL1RAP,IL1RL1,995,physical
PRPF3,SNRPD1,995,physical
PRPF3,LSM4,995,physical
PRPF3,LSM8,995,physical
MRPS31,MRPS35,995,physical
MRPS31,PTCD3,995,physical
CD209,CLEC4M,995,physical
NDUFS8,NDUFA10,995,physical
NDUFS8,NDUFB6,995,physical
NDUFS8,NDUFB4,995,physical
UBE2N,RNF8,995,physical
CLEC4M,CD209,995,physical
SUZ12,RNF2,995,physical
SNRNP200,SNRPD3,995,physical
SNRNP200,SNRPF,995,physical
SNRNP200,SNRPE,995,physical
SNRNP200,TXNL4A,995,physical
MRPS11,MRPS35,995,physical
MRPS11,DAP3,995,physical
APOL1,HPR,995,physical
TNIP1,TNFAIP3,995,physical
RUVBL1,KAT5,995,physical
VPS37A,UBAP1,995,physical
RPS15A,RPS9,995,physical
RPS15A,FAU,995,physical
RPS15A,RPS3A,995,physical
RPS15A,RPS27,995,physical
BID,BAK1,995,physical
SF3B2,DHX16,995,physical
CXCR2,PPBP,995,physical
CXCR2,CXCL2,995,physical
CXCR2,CXCL3,995,physical
CXCR2,CXCL5,995,physical
CXCR2,CXCL1,995,physical
DYNC1I1,DYNC1H1,995,physical
EZH2,DNMT3B,995,physical
EZH2,YY1,995,physical
EZH2,DNMT1,995,physical
MRPS23,MRPS2,995,physical
ARID1A,ARID2,995,physical
BORCS5,BORCS8,995,physical
BORCS5,KXD1,995,physical
BORCS5,BLOC1S2,995,physical
DPM2,PIGP,995,physical
COQ7,COQ9,995,physical
POLE,POLE3,995,physical
ATRIP,TOPBP1,995,physical
IFT88,IFT80,995,physical
CRTAP,PPIB,995,physical
MED14,MED8,995,physical
MED14,MED19,995,physical
MED14,MED24,995,physical
SMARCE1,ARID1B,995,physical
PRPF31,SNRPA1,995,physical
PRPF31,LSM6,995,physical
PRPF31,PHF5A,995,physical
PRPF31,SNRPD2,995,physical
PRPF31,LSM4,995,physical
POLR2L,ZNRD1,995,physical
LAMA3,LAMB3,995,physical
GSK3B,BTRC,995,physical
TPRKB,GON7,995,physical
KIR3DL2,HLA-A,995,physical
MED16,MED21,995,physical
PPP1CA,PPP1CC,995,physical
PMAIP1,BCL2,995,physical
PMAIP1,BCL2L1,995,physical
MED25,MED23,995,physical
CUL1,FBXW11,995,physical
NDUFV2,NDUFC2,995,physical
INTS5,INTS7,995,physical
SRPRA,SRP54,995,physical
HMG20B,KDM1A,995,physical
DNMT3B,EZH2,995,physical
NOC4L,KRR1,995,physical
TRAK1,RHOT1,995,physical
COPB2,COPG2,995,physical
ATP6V0C,ATP6V1D,995,physical
ATP6V0C,ATP6AP1,995,physical
PHF12,MORF4L1,995,physical
NPBWR1,NPW,995,physical
LEPR,LEP,995,physical
NDUFA12,NDUFC2,995,physical
NDUFA12,NDUFA3,995,physical
IL1R2,IL1R1,995,physical
ZNRD1,POLR2F,995,physical
ZNRD1,POLR2E,995,physical
ZNRD1,POLR2L,995,physical
MORF4L1,PHF12,995,physical
GAS6,MERTK,995,physical
EIF3C,EIF1,995,physical
EIF3C,EIF3M,995,physical
KCND2,KCNIP1,995,physical
IFNL2,IFNL3,995,physical
RGS9BP,GNB5,995,physical
SYNE3,SUN2,995,physical
ARID2,ARID1A,995,physical
HSP90AA1,SUGT1,995,physical
HSP90AA1,PPID,995,physical
HSP90AA1,FKBP4,995,physical
SF3B1,SNRPE,995,physical
SF3B1,EFTUD2,995,physical
SF3B1,SNRPF,995,physical
SF3B1,PRPF8,995,physical
AP1S1,AP1M1,995,physical
SUPT7L,TAF5L,995,physical
ATF4,CEBPB,995,physical
CENPA,HJURP,995,physical
CENPQ,CENPS,995,physical
KLRD1,TYROBP,995,physical
SGCD,SGCB,995,physical
GRAP2,LAT,995,physical
CAV1,CAV3,995,physical
FGFR3,FGF9,995,physical
H3F3C,DNMT3L,995,physical
TAF3,TAF9,995,physical
KAT5,RUVBL1,995,physical
KAT5,RUVBL2,995,physical
ACVR2B,INHBA,995,physical
ACVR2B,ACVR1C,995,physical
GTF2F2,TBP,995,physical
