gene1,gene2
ACAD9,RTN4IP1
ACAD9,SCO2
ACAD9,SSBP1
ACAD9,TFAM
ACAD9,TFB1M
ACAD9,TIMMDC1
ACAD9,TRUB2
ACAD9,TWNK
ACAD9,UQCRB
ACAD9,UQCRC1
ACAD9,UQCRC2
ACAD9,VARS2
ACOT4,GCNA
ACOT4,LPA
ACOT4,SLC35G6
ACOT4,WASHC2C
ACOX1,HSD17B4
ACOX1,PEX13
ACOX1,PEX6
ACSM2A,SLC35G6
ACTN3,ADGRD2
ACTN3,ALDH3B1
ACTN3,ANKRD18B
ACTN3,ANKRD63
ACTN3,ASMTL
ACTN3,ATG9B
ACTN3,ATP6V1FNB
ACTN3,BECN2
ACTN3,C13orf42
ACTN3,C20orf204
ACTN3,C2orf81
ACTN3,C2orf92
ACTN3,C3orf49
ACTN3,CCDC154
ACTN3,CCDC192
ACTN3,CD24
ACTN3,CEBPZOS
ACTN3,CFAP54
ACTN3,CLASP2
ACTN3,CLDN34
ACTN3,CLEC19A
ACTN3,COL6A5
ACTN3,COPG2
ACTN3,COPZ2
ACTN3,CRYBG3
ACTN3,CSAG2
ACTN3,CSF2RA
ACTN3,CSNKA2IP
ACTN3,CTXND1
ACTN3,CYFIP2
ACTN3,DCAF1
ACTN3,DCAF7
ACTN3,DCDC2C
ACTN3,DCP1A
ACTN3,DEXI
ACTN3,DGKK
ACTN3,DNAH17
ACTN3,DNAH8
ACTN3,DOCK1
ACTN3,DPP6
ACTN3,ERFL
ACTN3,ERICH2
ACTN3,EXOC1L
ACTN3,EZHIP
ACTN3,FOXD1
ACTN3,FOXI3
ACTN3,FRMPD3
ACTN3,GLYATL1B
ACTN3,GSG1L2
ACTN3,HECTD4
ACTN3,HSH2D
ACTN3,IQCA1L
ACTN3,KIZ
ACTN3,KLF18
ACTN3,KRBA1
ACTN3,KRBOX4
ACTN3,KRTAP1-3
ACTN3,LOC389895
ACTN3,LRRC9
ACTN3,LY6L
ACTN3,MALRD1
ACTN3,MAP3K15
ACTN3,MS4A4E
ACTN3,MYMX
ACTN3,MYO15B
ACTN3,MYRFL
ACTN3,NAIP
ACTN3,NBDY
ACTN3,NCBP2AS2
ACTN3,NCBP2L
ACTN3,NHSL2
ACTN3,NR2E3
ACTN3,OR14A2
ACTN3,OR4C5
ACTN3,OR51F1
ACTN3,OR56A5
ACTN3,OTOGL
ACTN3,OVCH1
ACTN3,P3R3URF
ACTN3,PABPC4L
ACTN3,PADI6
ACTN3,PAPOLB
ACTN3,PARG
ACTN3,PECAM1
ACTN3,PHACTR1
ACTN3,PIEZO2
ACTN3,PKD1L3
ACTN3,PLCXD1
ACTN3,PLET1
ACTN3,PRAMEF17
ACTN3,PRR36
ACTN3,PRSS41
ACTN3,PTPRQ
ACTN3,PYDC5
ACTN3,RAB44
ACTN3,RFX7
ACTN3,RHBG
ACTN3,RPL34
ACTN3,SDR42E2
ACTN3,SELENOF
ACTN3,SEMA3B
ACTN3,SHANK2
ACTN3,SLC25A6
ACTN3,SMAD5
ACTN3,SMIM10L2B
ACTN3,SMIM26
ACTN3,SMIM33
ACTN3,SPADH
ACTN3,SPATA1
ACTN3,SPDYE3
ACTN3,SPON1
ACTN3,SVOP
ACTN3,TDRD15
ACTN3,TERF1
ACTN3,TEX52
ACTN3,THSD7B
ACTN3,TMEM132C
ACTN3,TMEM275
ACTN3,TRIM64C
ACTN3,TRIM66
ACTN3,TTC6
ACTN3,UMAD1
ACTN3,VPS11
ACTN3,WDR64
ACTN3,XNDC1N
ACTN3,ZCCHC8
ACTN3,ZNF274
ACTN3,ZNF518A
ACTN3,ZNF678
ACTN3,ZNF738
ACTN3,ZSCAN12
ACTN3,ZSCAN26
ACTR2,ARPC4
ACTR3,ARPC2
ACTR3,ARPC4
ACTR5,INO80C
ADAT2,C1orf109
ADAT2,DCPS
ADAT2,DOLK
ADAT2,FDXR
ADAT2,METTL1
ADAT2,MRE11
ADAT2,RPP21
ADAT2,RTCB
ADAT2,TRMT61A
ADGRD2,ALDH3B1
ADGRD2,ANKRD18B
ADGRD2,ASMTL
ADGRD2,ATG9B
ADGRD2,ATP6V1FNB
ADGRD2,BECN2
ADGRD2,C10orf143
ADGRD2,C20orf204
ADGRD2,C2orf81
ADGRD2,C2orf92
ADGRD2,C3orf49
ADGRD2,CCDC154
ADGRD2,CCDC192
ADGRD2,CD207
ADGRD2,CD24
ADGRD2,CEBPZOS
ADGRD2,CECR2
ADGRD2,CLDN34
ADGRD2,CLEC19A
ADGRD2,COL6A5
ADGRD2,COPG2
ADGRD2,COPZ2
ADGRD2,CRYBG3
ADGRD2,CYFIP2
ADGRD2,DGKK
ADGRD2,DNAH17
ADGRD2,DNAH8
ADGRD2,DOCK1
ADGRD2,DPP6
ADGRD2,EI24
ADGRD2,EXOC1L
ADGRD2,EZHIP
ADGRD2,FAM240A
ADGRD2,FOXD1
ADGRD2,FOXI3
ADGRD2,FRMPD3
ADGRD2,GLYATL1B
ADGRD2,GSG1L2
ADGRD2,HECTD4
ADGRD2,HSH2D
ADGRD2,IQCA1L
ADGRD2,ITIH5
ADGRD2,KIZ
ADGRD2,KLF18
ADGRD2,KRBA1
ADGRD2,KRBOX4
ADGRD2,LEUTX
ADGRD2,LRRC74B
ADGRD2,LRRC9
ADGRD2,MALRD1
ADGRD2,MAP3K15
ADGRD2,MEIOSIN
ADGRD2,MGAM2
ADGRD2,MISP3
ADGRD2,MYMX
ADGRD2,NBDY
ADGRD2,NHSL2
ADGRD2,OR14A2
ADGRD2,OR4C5
ADGRD2,OR51F1
ADGRD2,OTOGL
ADGRD2,OVCH1
ADGRD2,P3R3URF
ADGRD2,PARG
ADGRD2,PECAM1
ADGRD2,PHACTR1
ADGRD2,PKD1L3
ADGRD2,PPP1R2B
ADGRD2,PPP4R3C
ADGRD2,PRAMEF17
ADGRD2,PRSS41
ADGRD2,PYDC5
ADGRD2,RAB44
ADGRD2,RHBG
ADGRD2,SBK3
ADGRD2,SELENOF
ADGRD2,SHANK2
ADGRD2,SLC25A6
ADGRD2,SMAD5
ADGRD2,SMIM26
ADGRD2,SMIM33
ADGRD2,SPADH
