gene1,gene2
DBX1,TEX53
DBX1,TMEM271
DBX1,TMEM272
DBX1,TRIL
DBX1,XKR5
DBX1,ZNF525
DBX1,ZNF724
DCAF1,DCAF13
DCAF1,DCAF7
DCAF1,DCP1A
DCAF1,DEXI
DCAF1,DNAH17
DCAF1,DNAH8
DCAF1,DOCK1
DCAF1,DPP6
DCAF1,EIF2S3B
DCAF1,ERFL
DCAF1,ETDC
DCAF1,EXOC1L
DCAF1,FOXD1
DCAF1,FOXI3
DCAF1,GLYATL1B
DCAF1,GMCL2
DCAF1,HECTD4
DCAF1,HSH2D
DCAF1,JRK
DCAF1,KCP
DCAF1,KLF18
DCAF1,KRBA1
DCAF1,KRBOX4
DCAF1,KRTAP1-3
DCAF1,LOC389895
DCAF1,LY6L
DCAF1,MAP3K14
DCAF1,MAP3K15
DCAF1,MAP4K5
DCAF1,MYO15B
DCAF1,MYOCOS
DCAF1,NAIP
DCAF1,NBDY
DCAF1,NCBP2L
DCAF1,NR2E3
DCAF1,OR4C5
DCAF1,OR56A5
DCAF1,OTOGL
DCAF1,OVCH1
DCAF1,P3R3URF
DCAF1,PAPOLB
DCAF1,PARG
DCAF1,PECAM1
DCAF1,PHACTR1
DCAF1,PIEZO2
DCAF1,PKD1L3
DCAF1,PRAMEF17
DCAF1,PRKDC
DCAF1,PRSS41
DCAF1,PTPRQ
DCAF1,RFX7
DCAF1,RHBG
DCAF1,RPL34
DCAF1,SEMA3B
DCAF1,SHANK2
DCAF1,SLC25A6
DCAF1,SMIM26
DCAF1,SPATA1
DCAF1,SPDYE3
DCAF1,SPON1
DCAF1,SVOP
DCAF1,TDRD15
DCAF1,TERF1
DCAF1,TEX13A
DCAF1,TEX52
DCAF1,TTC6
DCAF1,VPS11
DCAF1,WDR64
DCAF1,ZCCHC8
DCAF1,ZNF518A
DCAF1,ZNF678
DCAF1,ZNF738
DCAF1,ZSCAN12
DCAF1,ZSCAN26
DCAF13,DCAF7
DCAF13,DCP1A
DCAF13,DNAH8
DCAF13,DOC2B
DCAF13,ERFL
DCAF13,GJE1
DCAF13,GRIP2
DCAF13,HECTD4
DCAF13,HSH2D
DCAF13,JRK
DCAF13,KRTAP1-3
DCAF13,MAP3K14
DCAF13,MS4A4E
DCAF13,MYO15B
DCAF13,NAIP
DCAF13,PARG
DCAF13,PECAM1
DCAF13,PIEZO2
DCAF13,PKD1L3
DCAF13,PRKDC
DCAF13,RPL34
DCAF13,SEC22B
DCAF13,SLC25A6
DCAF13,SPDYE3
DCAF13,TEX13A
DCAF13,TTC6
DCAF13,VPS11
DCAF13,WDR64
DCAF13,ZCCHC8
DCAF13,ZNF518A
DCAF13,ZNF718
DCAF13,ZSCAN26
DCAF7,DCP1A
DCAF7,DNAH17
DCAF7,DNAH8
DCAF7,DOCK1
DCAF7,ERFL
DCAF7,ETDC
DCAF7,EXOC1L
DCAF7,FAM227A
DCAF7,FOXD1
DCAF7,GJE1
DCAF7,GMCL2
DCAF7,GPR33
DCAF7,HSH2D
DCAF7,KIZ
DCAF7,KLF18
DCAF7,KRBA1
DCAF7,KRTAP1-3
DCAF7,LOC389895
DCAF7,LY6L
DCAF7,MALRD1
DCAF7,MAP3K15
DCAF7,MAP4K5
DCAF7,MYO15B
DCAF7,NAIP
DCAF7,NBDY
DCAF7,NR2E3
DCAF7,OTOGL
DCAF7,PAPOLB
DCAF7,PARG
DCAF7,PECAM1
DCAF7,PIEZO2
DCAF7,PKD1L3
DCAF7,PLCXD1
DCAF7,PRSS41
DCAF7,PTPRQ
DCAF7,PYDC5
DCAF7,RHBG
DCAF7,RIOX1
DCAF7,SHANK2
DCAF7,SLC25A6
DCAF7,SMIM26
DCAF7,SPDYE3
DCAF7,SPON1
DCAF7,SVOP
DCAF7,TERF1
DCAF7,TTC6
DCAF7,VPS11
DCAF7,WDR64
DCAF7,ZCCHC8
DCAF7,ZNF518A
DCAF7,ZNF678
DCAF7,ZNF888
DCAF7,ZSCAN12
DCAF7,ZSCAN26
DCDC2C,DGKK
DCDC2C,DNAH17
DCDC2C,ERICH2
DCDC2C,EXOC1L
DCDC2C,FAM240A
DCDC2C,HTD2
DCDC2C,IQCA1L
DCDC2C,ITIH5
DCDC2C,IZUMO1R
DCDC2C,KRBA1
DCDC2C,KRBOX4
DCDC2C,LRRC9
DCDC2C,MALRD1
DCDC2C,MAP3K15
DCDC2C,MYMX
DCDC2C,MYRFL
DCDC2C,NBDY
DCDC2C,NCBP2L
DCDC2C,NOBOX
DCDC2C,NPIPB11
DCDC2C,NR2E3
DCDC2C,OR14K1
DCDC2C,OR51F1
DCDC2C,OR56A5
DCDC2C,OTOGL
DCDC2C,OVCH1
DCDC2C,PABPC4L
DCDC2C,PARG
DCDC2C,PCNX4
DCDC2C,PECAM1
DCDC2C,PHACTR1
DCDC2C,PLCXD1
DCDC2C,PPP1R2C
DCDC2C,PPP2R3B
DCDC2C,SEMA3B
DCDC2C,SHANK2
DCDC2C,SLC22A24
DCDC2C,SMIM10L2B
DCDC2C,SMIM26
DCDC2C,SPADH
DCDC2C,SPATA1
DCDC2C,SPON1
DCDC2C,SVOP
DCDC2C,TDRD15
DCDC2C,TMEM132C
DCDC2C,WDR64
DCDC2C,XNDC1N
DCDC2C,ZNF274
DCDC2C,ZNF525
DCDC2C,ZNF678
DCP1A,DNA2
DCP1A,DNAH17
DCP1A,DNAH8
DCP1A,DPP6
DCP1A,EIF2S3B
DCP1A,ERFL
DCP1A,ERICH2
DCP1A,EXOC1L
DCP1A,EZHIP
DCP1A,FOXD1
DCP1A,FOXI3
DCP1A,GJE1
DCP1A,GLYATL1B
DCP1A,GMCL2
DCP1A,HECTD4
DCP1A,HSH2D
DCP1A,IQANK1
DCP1A,JRK
DCP1A,KCP
DCP1A,KLF18
DCP1A,KRBA1
DCP1A,KRTAP1-3
DCP1A,KRTAP20-4
DCP1A,LRRC9
DCP1A,LY6L
DCP1A,MALRD1
DCP1A,MAP3K14
DCP1A,MAP3K15
DCP1A,MAP4K5
DCP1A,MINDY4B
DCP1A,MROH2A
DCP1A,MYO15B
DCP1A,NAIP
DCP1A,NBDY
DCP1A,NCBP2L
DCP1A,NEURL3
DCP1A,NR2E3
DCP1A,OR4C5
DCP1A,OR4E1
DCP1A,OR51F1
DCP1A,OR56A5
DCP1A,OTOGL
DCP1A,PABPC4L
DCP1A,PADI6
DCP1A,PAPOLB
DCP1A,PARG
DCP1A,PECAM1
DCP1A,PHACTR1
DCP1A,PIEZO2
DCP1A,PKD1L3
DCP1A,PLCXD1
DCP1A,PRKDC
DCP1A,PRSS41
DCP1A,PRSS56
DCP1A,PTPRQ
DCP1A,PYDC5
DCP1A,REELD1
DCP1A,RHBG
DCP1A,RIOX1
DCP1A,RNF187
DCP1A,RPL34
DCP1A,SELENOF
DCP1A,SEMA3B
DCP1A,SERTM2
DCP1A,SHANK2
DCP1A,SHLD3
DCP1A,SMIM26
DCP1A,SPATA1
DCP1A,SPDYE3
DCP1A,SPON1
DCP1A,SUPT20HL1
DCP1A,SVOP
DCP1A,TDRD15
DCP1A,TERF1
DCP1A,TEX52
DCP1A,THSD7B
DCP1A,TMEM275
DCP1A,TRIM66
DCP1A,TTC6
DCP1A,UMAD1
DCP1A,VPS11
DCP1A,WDR64
DCP1A,ZC3H12D
DCP1A,ZCCHC8
DCP1A,ZFTA
DCP1A,ZNF518A
DCP1A,ZNF678
DCP1A,ZSCAN12
DCP1A,ZSCAN26
DCPS,MRE11
DCPS,POLG
DCPS,TPI1
DCPS,TRMT61A
DDI2,NFE2L1
DDI2,NGLY1
DDIT4,TSC1
DDIT4,TSC2
DDX28,DMAC1
DDX28,EARS2
DDX28,ECSIT
DDX28,ERAL1
DDX28,FARS2
DDX28,FASTKD5
DDX28,FOXRED1
DDX28,GADD45GIP1
DDX28,GATB
DDX28,GATC
DDX28,GFM1
DDX28,GFM2
DDX28,GRSF1
DDX28,GTPBP10
DDX28,GTPBP8
DDX28,HARS2
DDX28,HCCS
DDX28,HSD17B10
DDX28,IBA57
DDX28,LARS2
DDX28,LRPPRC
DDX28,MALSU1
DDX28,MARS2
DDX28,MCAT
DDX28,METTL17
DDX28,MIPEP
DDX28,MRM2
DDX28,MRM3
DDX28,MRPL10
DDX28,MRPL12
DDX28,MRPL13
DDX28,MRPL14
DDX28,MRPL15
DDX28,MRPL16
DDX28,MRPL17
DDX28,MRPL18
DDX28,MRPL19
DDX28,MRPL2
DDX28,MRPL20
DDX28,MRPL21
DDX28,MRPL22
DDX28,MRPL23
DDX28,MRPL24
DDX28,MRPL28
DDX28,MRPL3
DDX28,MRPL32
DDX28,MRPL33
DDX28,MRPL34
DDX28,MRPL35
DDX28,MRPL37
DDX28,MRPL38
DDX28,MRPL39
DDX28,MRPL4
DDX28,MRPL40
DDX28,MRPL41
DDX28,MRPL43
DDX28,MRPL44
DDX28,MRPL46
DDX28,MRPL47
DDX28,MRPL48
DDX28,MRPL49
DDX28,MRPL51
DDX28,MRPL52
DDX28,MRPL53
DDX28,MRPL55
DDX28,MRPL57
DDX28,MRPL58
DDX28,MRPL9
DDX28,MRPS10
DDX28,MRPS11
DDX28,MRPS12
DDX28,MRPS14
DDX28,MRPS16
DDX28,MRPS17
DDX28,MRPS18B
DDX28,MRPS18C
DDX28,MRPS2
DDX28,MRPS22
DDX28,MRPS23
DDX28,MRPS24
DDX28,MRPS25
DDX28,MRPS26
DDX28,MRPS27
DDX28,MRPS28
DDX28,MRPS30
DDX28,MRPS31
DDX28,MRPS33
DDX28,MRPS35
DDX28,MRPS5
DDX28,MRPS6
DDX28,MRPS7
DDX28,MRPS9
DDX28,MTERF3
DDX28,MTERF4
DDX28,MTG1
DDX28,MTG2
DDX28,MTPAP
DDX28,MTRF1L
DDX28,NARS2
DDX28,NDUFA1
DDX28,NDUFA10
DDX28,NDUFA11
DDX28,NDUFA2
DDX28,NDUFA6
DDX28,NDUFA8
DDX28,NDUFAF3
DDX28,NDUFAF5
DDX28,NDUFAF7
DDX28,NDUFB10
DDX28,NDUFB11
DDX28,NDUFB2
DDX28,NDUFB4
DDX28,NDUFB5
DDX28,NDUFB6
DDX28,NDUFB7
DDX28,NDUFB8
DDX28,NDUFB9
DDX28,NDUFC1
DDX28,NDUFC2
DDX28,NDUFS1
DDX28,NDUFS2
DDX28,NDUFS7
DDX28,NDUFS8
DDX28,NDUFV2
DDX28,NGRN
DDX28,NOA1
DDX28,NSUN4
DDX28,PARS2
DDX28,PDSS2
DDX28,PET117
DDX28,POLG
DDX28,POLG2
DDX28,POLRMT
DDX28,PRORP
DDX28,PTCD1
DDX28,PTCD3
DDX28,QRSL1
DDX28,RARS2
DDX28,RBFA
DDX28,RPUSD3
DDX28,RPUSD4
DDX28,RTN4IP1
DDX28,SARS2
DDX28,SCO1
DDX28,SCO2
DDX28,SLC25A26
DDX28,SSBP1
DDX28,SUPV3L1
DDX28,TARS2
DDX28,TFAM
DDX28,TFB1M
DDX28,TFB2M
DDX28,TIMMDC1
DDX28,TRMT10C
DDX28,TRUB2
DDX28,TUFM
DDX28,TWNK
DDX28,UQCRC1
DDX28,UQCRC2
DDX28,VARS2
DDX28,WARS2
DDX28,YARS2
DDX31,WDR89
DDX3X,EIF1AX
DENND4C,RAB10
DEPDC5,NPRL2
DEPDC5,TSC1
DEPDC5,TSC2
DERPC,EDDM13
DERPC,EIF2S3B
DERPC,FOXL3
DERPC,GRK1
DERPC,JRK
DERPC,KIAA0040
DERPC,LOC112267897
DERPC,MAP3K14
DERPC,MAP4K5
DERPC,MINDY4B
DERPC,NLRC3
DERPC,OR4E1
DERPC,OVCH2
DERPC,PCDHGB5
DERPC,PCSK6
DERPC,PGAM1
DERPC,PNMA6F
DERPC,PRB3
DERPC,PRM3
DERPC,SAA2
DERPC,SLC38A3
DERPC,SMIM27
DERPC,SPACA6
DERPC,SYNM
DERPC,TCAF2
DERPC,TEX13A
DERPC,TSPAN10
DERPC,WDR97
DERPC,ZNF385C
DET1,STK40
DEXI,DGKK
DEXI,DNAH17
DEXI,DNAH8
DEXI,DOCK1
DEXI,DPP6
DEXI,EI24
DEXI,EIF2S3B
DEXI,ERFL
DEXI,FAM240A
DEXI,FOXD1
DEXI,GLYATL1B
DEXI,GMCL2
DEXI,HSH2D
DEXI,KIZ
DEXI,KLF18
DEXI,KRBA1
DEXI,KRBOX4
DEXI,KRTAP1-3
DEXI,LOC389895
DEXI,MALRD1
DEXI,MGAM2
DEXI,MISP3
DEXI,MYMX
DEXI,MYO15B
DEXI,MYOCOS
DEXI,NBDY
DEXI,NCAM1
DEXI,NCBP2AS2
DEXI,NCBP2L
DEXI,NOBOX
DEXI,NPIPB11
DEXI,NR2E3
DEXI,NT5DC4
DEXI,OR14A2
DEXI,OR51F1
DEXI,OR56A5
DEXI,OR8G1
DEXI,P3R3URF
DEXI,PAPOLB
DEXI,PARG
DEXI,PCNX4
DEXI,PECAM1
DEXI,PHACTR1
DEXI,PIEZO2
DEXI,PKD1L3
DEXI,PLET1
DEXI,PRAMEF17
DEXI,PRR36
DEXI,PRSS2
DEXI,PRSS41
DEXI,RAB44
DEXI,RHBG
DEXI,RIBC2
DEXI,RNF225
DEXI,SHANK2
DEXI,SHISA8
DEXI,SLC22A24
DEXI,SLC25A6
DEXI,SMIM10L2B
DEXI,SMIM26
DEXI,SMIM33
DEXI,SMIM41
DEXI,SPADH
DEXI,SPATA1
DEXI,SPDYE3
DEXI,SPON1
DEXI,SRSF8
DEXI,SVOP
DEXI,TDRD15
DEXI,TERF1
DEXI,TEX52
DEXI,TMEM275
DEXI,TRIL
DEXI,TRIM64C
DEXI,TTC6
DEXI,UBTFL1
DEXI,VPS11
DEXI,WDR64
DEXI,ZNF518A
DEXI,ZNF678
DEXI,ZNF738
DEXI,ZNF888
DEXI,ZSCAN26
DGKK,DPP6
DGKK,ERICH2
DGKK,FAM240A
DGKK,FAT3
DGKK,IZUMO1R
DGKK,KIF5C
DGKK,LRRC9
DGKK,MALRD1
DGKK,MRLN
DGKK,MYRFL
DGKK,NBDY
DGKK,OR51F1
DGKK,OTOGL
DGKK,OVCH1
DGKK,PHACTR1
DGKK,PPP4R3C
DGKK,RAB44
DGKK,RFX7
DGKK,RNF227
DGKK,SHANK2
DGKK,SLC22A24
DGKK,SMIM10L2B
DGKK,SMIM28
DGKK,SPATA1
DGKK,SPDYE3
DGKK,SRSF8
DGKK,TDRD15
DGKK,TEX13C
DGKK,THSD7B
DGKK,TMEM132C
DGKK,UMAD1
DGKK,XKR5
DGKK,XNDC1N
DGKK,ZNF274
DGKK,ZNF525
DHODH,DLST
DHODH,FPGS
DHODH,GART
DHODH,GCLC
DHODH,GMPS
DHODH,MTHFD1
DHODH,NAMPT
DHODH,PAICS
DHODH,PFAS
DHODH,PPAT
DHODH,PPCDC
DHODH,RFK
DHODH,SDHA
DHODH,SDHB
DHODH,UMPS
DHRSX,ERFE
DHRSX,FGF16
DHRSX,H2BC12
DHRSX,IQCM
DHRSX,LACTBL1
DHRSX,LOC112694756
DHRSX,PPP1R9B
DHRSX,PRR20G
DHRSX,SH3RF3
DHRSX,SLC46A1
DHRSX,SMIM10L1
DHRSX,SPATA31C2
DHRSX,TAAR9
DHRSX,TTLL8
DHRSX,UHRF1
DHRSX,ZAN
DHRSX,ZBED1
DHX30,MRPL46
DHX30,PRORP
DHX30,TRMT10C
DHX33,POP5
DHX35,WDR83
DKC1,WDR18
DLAT,PDHA1
DLAT,PDHB
DLD,DLST
DLD,FDX1
DLD,LIAS
DLD,LIPT1
DLD,OGDH
DLD,SDHA
DLD,SDHB
DLD,UQCRC2
DLST,FPGS
DLST,GART
DLST,LIAS
DLST,LIPT1
DLST,MTHFD1
DLST,OGDH
DLST,PAICS
DLST,SDHA
DLST,SDHB
DMAC1,ECSIT
DMAC1,FASTKD5
DMAC1,FOXRED1
DMAC1,GTPBP8
DMAC1,IBA57
DMAC1,LRPPRC
DMAC1,MARS2
DMAC1,MRPL41
DMAC1,MRPS23
DMAC1,MRPS24
DMAC1,MRPS6
DMAC1,MTG2
DMAC1,NDUFA1
DMAC1,NDUFA10
DMAC1,NDUFA11
DMAC1,NDUFA2
DMAC1,NDUFA6
DMAC1,NDUFA8
DMAC1,NDUFAF1
DMAC1,NDUFAF3
DMAC1,NDUFAF4
DMAC1,NDUFAF7
DMAC1,NDUFB10
DMAC1,NDUFB11
DMAC1,NDUFB2
DMAC1,NDUFB3
DMAC1,NDUFB4
DMAC1,NDUFB5
DMAC1,NDUFB6
DMAC1,NDUFB7
DMAC1,NDUFB8
DMAC1,NDUFB9
DMAC1,NDUFC1
DMAC1,NDUFC2
DMAC1,NDUFS1
DMAC1,NDUFS2
DMAC1,NDUFS5
DMAC1,NDUFS7
DMAC1,NDUFS8
DMAC1,NDUFV2
DMAC1,PDSS2
DMAC1,PET117
DMAC1,RPUSD4
DMAC1,RTN4IP1
DMAC1,TIMMDC1
DMAC1,UQCRC1
DMAC2,NDUFA1
DNA2,FBRS
DNA2,FOXI3
DNA2,HECTD4
DNA2,KLF18
DNA2,MAP3K14
DNA2,NAIP
DNA2,PGAM1
DNA2,PRKDC
DNA2,RIOX1
DNA2,SEC22B
DNA2,SPACA6
DNA2,ZCCHC8
DNAH17,DNAH8
DNAH17,DOCK1
DNAH17,DPP6
DNAH17,ERFL
DNAH17,ERICH2
DNAH17,EXOC1L
DNAH17,EZHIP
DNAH17,FOXD1
DNAH17,FOXI3
DNAH17,GJE1
DNAH17,GLYATL1B
DNAH17,GMCL2
DNAH17,GSG1L2
DNAH17,GVQW3
DNAH17,HECTD4
DNAH17,HSH2D
DNAH17,IQCA1L
DNAH17,ITIH5
DNAH17,KCP
DNAH17,KLF18
DNAH17,KRBA1
DNAH17,KRBOX4
DNAH17,KRTAP1-3
DNAH17,LRRC74B
DNAH17,LRRC9
DNAH17,LY6L
DNAH17,MALRD1
DNAH17,MAP3K15
DNAH17,MEIOSIN
DNAH17,MS4A4E
DNAH17,MYMX
DNAH17,MYO15B
DNAH17,NBDY
DNAH17,NCBP2L
DNAH17,NEURL3
DNAH17,NFILZ
DNAH17,NPIPB11
DNAH17,NR2E3
DNAH17,OR14A2
DNAH17,OR14K1
DNAH17,OR4C5
DNAH17,OR51F1
DNAH17,OR56A5
DNAH17,OTOGL
DNAH17,P3R3URF
DNAH17,PABPC4L
DNAH17,PADI6
DNAH17,PAPOLB
DNAH17,PARG
DNAH17,PECAM1
DNAH17,PHACTR1
DNAH17,PIEZO2
DNAH17,PKD1L3
DNAH17,PLCXD1
DNAH17,PLET1
DNAH17,PRAMEF17
DNAH17,PRSS41
DNAH17,PTPRQ
DNAH17,PYDC5
DNAH17,RAB44
DNAH17,RHBG
DNAH17,RNF187
DNAH17,RPL34
DNAH17,SBK3
DNAH17,SELENOF
DNAH17,SEMA3B
DNAH17,SH2B2
DNAH17,SHANK2
DNAH17,SHLD3
DNAH17,SLC25A6
DNAH17,SMAD5
DNAH17,SMIM10L2B
DNAH17,SMIM26
DNAH17,SMIM33
DNAH17,SPADH
DNAH17,SPATA1
DNAH17,SPON1
DNAH17,SUPT20HL1
DNAH17,SUPT20HL2
DNAH17,SVOP
DNAH17,TDRD15
DNAH17,TERF1
DNAH17,TEX50
DNAH17,TEX52
DNAH17,TMEM275
DNAH17,TTC6
DNAH17,UMAD1
DNAH17,VPS11
DNAH17,WDR64
DNAH17,ZCCHC8
DNAH17,ZFTA
DNAH17,ZNF274
DNAH17,ZNF516
DNAH17,ZNF518A
DNAH17,ZNF678
DNAH17,ZNF738
DNAH17,ZSCAN12
DNAH17,ZSCAN26
DNAH8,DOCK1
DNAH8,DPP6
DNAH8,ERFL
DNAH8,ERICH2
DNAH8,EXOC1L
DNAH8,FOXD1
DNAH8,FOXI3
DNAH8,GJE1
DNAH8,GLYATL1B
DNAH8,HECTD4
DNAH8,HSH2D
DNAH8,KLF18
DNAH8,KRBA1
DNAH8,KRTAP1-3
DNAH8,LOC389895
DNAH8,LRRC9
DNAH8,LY6L
DNAH8,MALRD1
DNAH8,MAP3K14
DNAH8,MAP3K15
DNAH8,MAP4K5
DNAH8,MS4A4E
DNAH8,MYO15B
DNAH8,NAIP
DNAH8,NBDY
DNAH8,NCBP2L
DNAH8,NR2E3
DNAH8,OR51F1
DNAH8,OTOGL
DNAH8,OVCH1
DNAH8,PABPC4L
DNAH8,PADI6
DNAH8,PAPOLB
DNAH8,PARG
DNAH8,PECAM1
DNAH8,PHACTR1
DNAH8,PIEZO2
DNAH8,PKD1L3
DNAH8,PLCXD1
DNAH8,PRKDC
DNAH8,PRSS41
DNAH8,PTPRQ
DNAH8,PYDC5
DNAH8,RHBG
DNAH8,RIOX1
DNAH8,RPL34
DNAH8,SELENOF
DNAH8,SEMA3B
DNAH8,SHANK2
DNAH8,SLC25A6
DNAH8,SMIM26
DNAH8,SPATA1
DNAH8,SPDYE3
DNAH8,SPON1
DNAH8,SUPT20HL1
DNAH8,SVOP
DNAH8,TDRD15
DNAH8,TERF1
DNAH8,TEX52
DNAH8,THSD7B
DNAH8,TTC6
DNAH8,UMAD1
DNAH8,VPS11
DNAH8,WDR64
DNAH8,ZCCHC8
DNAH8,ZNF518A
DNAH8,ZNF678
DNAH8,ZNF738
DNAH8,ZSCAN12
DNAH8,ZSCAN26
DNAJC11,MTX2
DNAJC11,TIMM13
DNAJC2,HSPA14
DNLZ,FDXR
DNLZ,RTCB
DNLZ,TRMT61A
DOC2B,EI24
DOC2B,EZHIP
DOC2B,FIGNL2
DOC2B,FOLR3
DOC2B,GJE1
DOC2B,GMCL2
DOC2B,GOLGA6L2
DOC2B,GRIP2
DOC2B,GSG1L2
DOC2B,INAFM2
DOC2B,KCP
DOC2B,KIAA0040
DOC2B,LEUTX
DOC2B,LOC101059915
DOC2B,LOC102723971
DOC2B,LRCOL1
DOC2B,LRRC74B
DOC2B,LYPD8
DOC2B,MAPK8IP2
DOC2B,MGAM2
DOC2B,MUC13
DOC2B,MYORG
DOC2B,NEURL3
DOC2B,NUDT18
DOC2B,OBP2B
DOC2B,OOSP3
DOC2B,OPLAH
DOC2B,OR10G6
DOC2B,OR4E1
DOC2B,OVCH2
DOC2B,PCDH11Y
DOC2B,PCSK6
DOC2B,PERCC1
DOC2B,PGBD5
DOC2B,PLCD3
DOC2B,PPP1R2B
DOC2B,PRB3
DOC2B,PRM3
DOC2B,REELD1
DOC2B,RIBC2
DOC2B,RNF187
DOC2B,S100A7A
DOC2B,SBK3
DOC2B,SHOX
DOC2B,SMIM32
DOC2B,SMIM33
DOC2B,SMIM38
DOC2B,SRD5A2
DOC2B,SUPT20HL2
DOC2B,TEX13A
DOC2B,TEX13D
DOC2B,TMEM271
DOC2B,TMEM272
DOC2B,TMEM275
DOC2B,WNK2
DOC2B,ZC3H12D
DOC2B,ZDHHC11B
DOC2B,ZNF316
DOC2B,ZNF595
DOCK1,EXOC1L
DOCK1,FAM227A
DOCK1,FAM240A
DOCK1,FHAD1
DOCK1,FOXD1
DOCK1,FTCDNL1
DOCK1,GLYATL1B
DOCK1,GPHB5
DOCK1,HSH2D
DOCK1,KIZ
DOCK1,KRBA1
DOCK1,KRTAP1-3
DOCK1,LOC389895
DOCK1,LRRC9
DOCK1,LY6L
DOCK1,MALRD1
DOCK1,MAP3K15
DOCK1,MYMX
DOCK1,MYO15B
DOCK1,NBDY
DOCK1,NKX1-1
DOCK1,NPIPB11
DOCK1,NR2E3
DOCK1,OR14A2
DOCK1,OR51F1
DOCK1,OTOGL
DOCK1,OVCH1
DOCK1,P3R3URF
DOCK1,PADI6
DOCK1,PAPOLB
DOCK1,PARG
DOCK1,PCNX4
DOCK1,PECAM1
DOCK1,PHACTR1
DOCK1,PIEZO2
DOCK1,PIGBOS1
DOCK1,PKD1L3
DOCK1,PLCXD1
DOCK1,PLET1
DOCK1,PRAMEF17
DOCK1,PRSS2
DOCK1,PRSS41
DOCK1,PYDC5
DOCK1,RHBG
DOCK1,RIBC2
DOCK1,SELENOF
DOCK1,SEMA3B
DOCK1,SHANK2
DOCK1,SHISA8
DOCK1,SLC35F4
DOCK1,SMAD5
DOCK1,SMIM26
DOCK1,SMIM33
DOCK1,SPATA1
DOCK1,SPDYE3
DOCK1,SPON1
DOCK1,SVOP
DOCK1,TDRD15
DOCK1,TERF1
DOCK1,TEX52
DOCK1,TMEM132C
DOCK1,TMEM272
DOCK1,TTC6
DOCK1,VPS11
DOCK1,WDR64
DOCK1,ZNF518A
DOCK1,ZNF678
DOCK1,ZNF738
DOCK1,ZNF888
DOCK1,ZSCAN12
DOCK1,ZSCAN26
DOHH,TRMT61A
DOLK,TRMT61A
DOT1L,KMT2A
DOT1L,MEN1
DPEP2NB,LBHD2
DPEP2NB,PCDHGB5
DPEP2NB,SH3RF3
DPEP2NB,SPATA31C2
DPEP2NB,TMEM114
DPEP2NB,ZBED1
DPH1,DPH2
DPH1,DPH5
DPH1,DPH6
DPH2,DPH5
DPH3,ELP2
DPH5,N6AMT1
DPH5,TRMT61A
DPM1,DPM2
DPM1,DPM3
DPM1,MPDU1
DPM2,DPM3
DPM3,MPDU1
DPP6,EDDM13
DPP6,EIF2S3B
DPP6,ERICH2
DPP6,EXOC1L
DPP6,EZHIP
DPP6,FOXD1
DPP6,GLYATL1B
DPP6,GMCL2
DPP6,GRIP2
DPP6,HSH2D
DPP6,IZUMO1R
DPP6,KCP
DPP6,KLF18
DPP6,KRBA1
DPP6,KRBOX4
DPP6,KRTAP1-3
DPP6,KRTAP20-4
DPP6,LOC102723971
DPP6,LOC112267897
DPP6,LOC389895
DPP6,LRRC9
DPP6,MGAM2
DPP6,MISP3
DPP6,MROH2A
DPP6,MYO15B
DPP6,NBDY
DPP6,NCBP2L
DPP6,NEURL3
DPP6,OR4C5
DPP6,OR51F1
DPP6,OR56A5
DPP6,OTOGL
DPP6,P3R3URF
DPP6,PADI6
DPP6,PAGE3
DPP6,PAPOLB
DPP6,PARG
DPP6,PECAM1
DPP6,PHACTR1
DPP6,PIEZO2
DPP6,PKD1L3
DPP6,PPP4R3C
DPP6,PRR36
DPP6,PRSS41
DPP6,PRSS56
DPP6,PTPRQ
DPP6,RAB44
DPP6,REELD1
DPP6,RHBG
DPP6,RNF187
DPP6,RYK
DPP6,SELENOF
DPP6,SERTM2
DPP6,SHANK2
DPP6,SLC22A24
DPP6,SMIM26
DPP6,SMIM33
DPP6,SPAAR
DPP6,SPATA1
DPP6,SPDYE3
DPP6,SPON1
DPP6,SUPT20HL1
DPP6,SVOP
DPP6,TDRD15
DPP6,TERF1
DPP6,TEX13A
DPP6,TEX52
DPP6,THSD7B
DPP6,TMEM275
DPP6,TTC6
DPP6,UMAD1
DPP6,WDR64
DPP6,XKR5
DPP6,ZCCHC8
DPP6,ZNF516
DPP6,ZNF518A
DPP6,ZNF717
DR1,DRAP1
DTYMK,GMPS
DTYMK,YRDC
DUXB,FAM228B
DUXB,FBLL1
DUXB,FOXL3
DUXB,GABRR3
DUXB,INPP5D
DUXB,KCNJ12
DUXB,LBHD2
DUXB,LOC112694756
DUXB,NLRP2B
DUXB,NPRL3
DUXB,OR2AJ1
DUXB,PNMA6F
DUXB,PVALEF
DUXB,SH3RF3
DUXB,SLC46A1
DUXB,SPACA6
DUXB,SPATA31C2
DUXB,SPPL2B
DUXB,ZBED1
EARS2,ERAL1
EARS2,FARS2
EARS2,FASTKD5
EARS2,FOXRED1
EARS2,GADD45GIP1
EARS2,GATB
EARS2,GATC
EARS2,GFM1
EARS2,GFM2
EARS2,GLRX5
EARS2,GRSF1
EARS2,GTPBP10
EARS2,GTPBP8
EARS2,HARS2
EARS2,HCCS
EARS2,HSD17B10
EARS2,IBA57
EARS2,LARS2
EARS2,LRPPRC
EARS2,MALSU1
EARS2,MARS2
EARS2,MCAT
